,IP,Throughput(MB/s),IP in 32 bit
1346,193.239.97.100,1.21,11000001111011110110000101100100
1347,193.254.251.77,0.67,11000001111111101111101101001101
1348,193.30.132.46,4.35,11000001000111101000010000101110
1349,193.33.224.252,0.54,11000001001000011110000011111100
1350,193.34.145.205,10.6,11000001001000101001000111001101
1351,193.40.102.6,2.34,11000001001010000110011000000110
1352,193.40.113.42,0.27,11000001001010000111000100101010
1353,193.40.25.57,0.46,11000001001010000001100100111001
1354,193.40.5.73,1.77,11000001001010000000010101001001
1355,193.41.67.164,43.0,11000001001010010100001110100100
1356,193.46.41.42,0.83,11000001001011100010100100101010
1357,193.55.113.240,0.47,11000001001101110111000111110000
1358,193.6.138.68,2.38,11000001000001101000101001000100
1359,193.70.37.18,11.8,11000001010001100010010100010010
1360,193.70.79.13,3.98,11000001010001100100111100001101
1361,193.93.133.82,0.29,11000001010111011000010101010010
1362,193.93.36.64,6.13,11000001010111010010010001000000
1363,193.95.5.132,4.03,11000001010111110000010110000100
1364,194.100.86.8,0.385,11000010011001000101011000001000
1365,194.107.127.26,1.3,11000010011010110111111100011010
1366,194.110.177.53,1.7766666666666666,11000010011011101011000100110101
1367,194.110.177.98,27.8,11000010011011101011000101100010
1368,194.110.179.130,5.55,11000010011011101011001110000010
1369,194.126.114.228,12.9,11000010011111100111001011100100
1370,194.135.87.2,0.68,11000010100001110101011100000010
1371,194.135.87.68,1.2,11000010100001110101011101000100
1372,194.135.87.94,1.77,11000010100001110101011101011110
1373,194.141.32.4,0.54,11000010100011010010000000000100
1374,194.141.86.2,0.72,11000010100011010101011000000010
1375,194.141.99.24,0.61,11000010100011010110001100011000
1376,194.149.137.226,0.95,11000010100101011000100111100010
1377,194.154.192.91,13.96,11000010100110101100000001011011
1378,194.154.208.89,0.87,11000010100110101101000001011001
1379,194.154.217.110,2.98,11000010100110101101100101101110
1380,194.158.206.122,3.62,11000010100111101100111001111010
1381,194.158.212.11,1.74,11000010100111101101010000001011
1382,194.158.80.16,0.6699999999999999,11000010100111100101000000010000
1383,194.158.80.18,10.6,11000010100111100101000000010010
1384,194.158.80.39,0.72,11000010100111100101000000100111
1385,194.158.80.51,0.44,11000010100111100101000000110011
1386,194.158.80.8,15.2,11000010100111100101000000001000
1387,194.158.88.28,6.26,11000010100111100101100000011100
1388,194.158.88.4,9.16,11000010100111100101100000000100
1389,194.158.91.120,0.98,11000010100111100101101101111000
1390,194.158.91.121,0.5,11000010100111100101101101111001
1391,194.169.215.75,15.4,11000010101010011101011101001011
1392,194.177.214.36,1.1,11000010101100011101011000100100
1393,194.177.238.156,0.2,11000010101100011110111010011100
1394,194.183.224.42,2.7,11000010101101111110000000101010
1395,194.183.94.19,1.04,11000010101101110101111000010011
1396,194.183.95.36,16.2,11000010101101110101111100100100
1397,194.201.253.172,0.2,11000010110010011111110110101100
1398,194.201.253.70,0.38,11000010110010011111110101000110
1399,194.204.54.100,4.29,11000010110011000011011001100100
1400,194.206.126.204,1.99,11000010110011100111111011001100
1401,194.209.178.206,0.935,11000010110100011011001011001110
1402,194.228.207.67,0.25,11000010111001001100111101000011
1403,194.27.72.130,0.81,11000010000110110100100010000010
1404,194.30.133.149,0.495,11000010000111101000010110010101
1405,194.4.56.121,1.61,11000010000001000011100001111001
1406,194.42.10.238,0.46,11000010001010100000101011101110
1407,194.42.98.62,7.82,11000010001010100110001000111110
1408,194.5.159.213,4.43,11000010000001011001111111010101
1409,194.54.228.130,0.38,11000010001101101110010010000010
1410,194.60.250.151,0.26,11000010001111001111101010010111
1411,194.60.250.249,1.48,11000010001111001111101011111001
1412,194.63.248.94,14.8,11000010001111111111100001011110
1413,194.66.5.50,1.3066666666666666,11000010010000100000010100110010
1414,194.71.144.43,2.18,11000010010001111001000000101011
1415,194.8.60.68,0.88,11000010000010000011110001000100
1416,195.110.124.188,4.055,11000011011011100111110010111100
1417,195.110.58.172,2.13,11000011011011100011101010101100
1418,195.113.123.103,0.86,11000011011100010111101101100111
1419,195.130.35.104,0.44,11000011100000100010001101101000
1420,195.130.35.140,7.92,11000011100000100010001110001100
1421,195.130.35.141,8.58,11000011100000100010001110001101
1422,195.134.100.68,0.29,11000011100001100110010001000100
1423,195.137.174.47,0.84,11000011100010011010111000101111
1424,195.137.199.247,5.87,11000011100010011100011111110111
1425,195.14.130.20,1.1275,11000011000011101000001000010100
1426,195.14.137.109,0.415,11000011000011101000100101101101
1427,195.14.149.161,0.58,11000011000011101001010110100001
1428,195.144.31.142,0.79,11000011100100000001111110001110
1429,195.148.208.8,1.24,11000011100101001101000000001000
1430,195.154.156.242,2.93,11000011100110101001110011110010
1431,195.154.82.179,16.9,11000011100110100101001010110011
1432,195.158.109.93,1.39,11000011100111100110110101011101
1433,195.159.29.211,1.82,11000011100111110001110111010011
1434,195.159.29.213,0.69,11000011100111110001110111010101
1435,195.167.99.18,0.82,11000011101001110110001100010010
1436,195.182.36.142,0.76,11000011101101100010010010001110
1437,195.182.83.76,0.25,11000011101101100101001101001100
1438,195.191.148.176,3.54,11000011101111111001010010110000
1439,195.191.149.230,0.32,11000011101111111001010111100110
1440,195.197.95.171,0.69,11000011110001010101111110101011
1441,195.20.24.7,0.27,11000011000101000001100000000111
1442,195.20.49.173,8.88,11000011000101000011000110101101
1443,195.20.49.231,5.02,11000011000101000011000111100111
1444,195.20.51.90,8.02,11000011000101000011001101011010
1445,195.20.53.23,15.3,11000011000101000011010100010111
1446,195.20.54.116,7.37,11000011000101000011011001110100
1447,195.201.78.52,1.39,11000011110010010100111000110100
1448,195.210.46.41,11.4,11000011110100100010111000101001
1449,195.210.46.45,2.9,11000011110100100010111000101101
1450,195.210.46.62,15.6,11000011110100100010111000111110
1451,195.210.46.66,8.13,11000011110100100010111001000010
1452,195.216.243.243,1.22,11000011110110001111001111110011
1453,195.216.243.40,1.06,11000011110110001111001100101000
1454,195.22.8.73,3.04,11000011000101100000100001001001
1455,195.222.33.161,0.74,11000011110111100010000110100001
1456,195.226.129.170,3.975,11000011111000101000000110101010
1457,195.228.86.141,1.79,11000011111001000101011010001101
1458,195.23.106.54,1.4,11000011000101110110101000110110
1459,195.24.196.178,0.66,11000011000110001100010010110010
1460,195.24.201.12,0.12,11000011000110001100100100001100
1461,195.24.205.37,0.05,11000011000110001100110100100101
1462,195.24.207.135,0.43,11000011000110001100111110000111
1463,195.24.207.141,8.62,11000011000110001100111110001101
1464,195.24.207.148,0.395,11000011000110001100111110010100
1465,195.24.207.181,0.37,11000011000110001100111110110101
1466,195.24.207.195,0.58,11000011000110001100111111000011
1467,195.24.207.196,8.23,11000011000110001100111111000100
1468,195.24.89.6,0.15,11000011000110000101100100000110
1469,195.244.217.129,1.14,11000011111101001101100110000001
1470,195.244.243.69,26.1,11000011111101001111001101000101
1471,195.246.42.213,0.27,11000011111101100010101011010101
1472,195.246.50.191,0.07,11000011111101100011001010111111
1473,195.246.54.56,0.02,11000011111101100011011000111000
1474,195.251.94.125,0.83,11000011111110110101111001111101
1475,195.254.235.72,1.975,11000011111111101110101101001000
1476,195.26.131.244,0.51,11000011000110101000001111110100
1477,195.26.149.198,1.47,11000011000110101001010111000110
1478,195.26.152.206,5.48,11000011000110101001100011001110
1479,195.26.5.2,1.765,11000011000110100000010100000010
1480,195.26.5.80,18.9,11000011000110100000010101010000
1481,195.39.171.67,0.33,11000011001001111010101101000011
1482,195.43.22.62,0.905,11000011001010110001011000111110
1483,195.55.84.69,3.265,11000011001101110101010001000101
1484,195.56.189.73,0.27,11000011001110001011110101001001
1485,195.62.218.104,6.95,11000011001111101101101001101000
1486,195.64.164.104,1.48,11000011010000001010010001101000
1487,195.65.111.111,1.37,11000011010000010110111101101111
1488,195.7.225.123,0.74,11000011000001111110000101111011
1489,195.7.226.154,3.45,11000011000001111110001010011010
1490,195.72.142.198,0.33,11000011010010001000111011000110
1491,195.78.11.139,4.01,11000011010011100000101110001011
1492,195.78.12.17,2.72,11000011010011100000110000010001
1493,195.78.12.32,4.085,11000011010011100000110000100000
1494,195.78.74.15,0.52,11000011010011100100101000001111
1495,195.8.58.186,10.33,11000011000010000011101010111010
1496,195.85.228.168,2.26,11000011010101011110010010101000
1497,195.91.35.33,0.93,11000011010110110010001100100001
1498,196.11.125.135,0.13,11000100000010110111110110000111
1499,196.11.125.195,0.215,11000100000010110111110111000011
1500,196.11.175.53,0.11,11000100000010111010111100110101
1501,196.11.82.10,1.03,11000100000010110101001000001010
1502,196.12.203.30,0.87,11000100000011001100101100011110
1503,196.13.101.4,0.35,11000100000011010110010100000100
1504,196.13.207.40,0.32,11000100000011011100111100101000
1505,196.168.170.69,0.05,11000100101010001010101001000101
1506,196.189.45.75,0.18,11000100101111010010110101001011
1507,196.192.16.23,0.21,11000100110000000001000000010111
1508,196.192.16.5,0.385,11000100110000000001000000000101
1509,196.192.39.4,0.04,11000100110000000010011100000100
1510,196.2.1.165,0.61,11000100000000100000000110100101
1511,196.2.13.50,9.5,11000100000000100000110100110010
1512,196.20.107.97,0.17,11000100000101000110101101100001
1513,196.20.72.18,1.38,11000100000101000100100000010010
1514,196.20.78.60,2.19,11000100000101000100111000111100
1515,196.200.165.34,0.33,11000100110010001010010100100010
1516,196.200.176.22,0.91,11000100110010001011000000010110
1517,196.201.197.226,0.14,11000100110010011100010111100010
1518,196.201.199.146,0.89,11000100110010011100011110010010
1519,196.216.163.23,0.1,11000100110110001010001100010111
1520,196.216.180.4,0.355,11000100110110001011010000000100
1521,196.216.8.56,0.22,11000100110110000000100000111000
1522,196.217.246.60,6.63,11000100110110011111011000111100
1523,196.219.53.21,0.79,11000100110110110011010100010101
1524,196.22.48.37,0.11,11000100000101100011000000100101
1525,196.223.13.155,0.28,11000100110111110000110110011011
1526,196.223.178.121,0.19,11000100110111111011001001111001
1527,196.27.64.122,0.695,11000100000110110100000001111010
1528,196.3.190.35,0.25,11000100000000111011111000100011
1529,196.3.191.131,0.125,11000100000000111011111110000011
1530,196.3.191.20,0.23,11000100000000111011111100010100
1531,196.3.96.43,1.58,11000100000000110110000000101011
1532,196.40.23.178,0.19,11000100001010000001011110110010
1533,196.40.24.242,0.6375000000000001,11000100001010000001100011110010
1534,196.40.56.11,0.78,11000100001010000011100000001011
1535,196.40.56.12,0.49,11000100001010000011100000001100
1536,196.40.76.220,0.77,11000100001010000100110011011100
1537,196.44.136.113,0.3166666666666667,11000100001011001000100001110001
1538,196.45.190.6,0.22,11000100001011011011111000000110
1539,196.46.0.163,0.24,11000100001011100000000010100011
1540,196.46.21.137,0.315,11000100001011100001010110001001
1541,196.46.232.34,0.26,11000100001011101110100000100010
1542,196.46.28.37,0.30000000000000004,11000100001011100001110000100101
1543,196.49.1.25,0.105,11000100001100010000000100011001
1544,196.8.136.20,0.22,11000100000010001000100000010100
1545,197.112.0.111,1.1933333333333334,11000101011100000000000001101111
1546,197.112.0.210,0.77,11000101011100000000000011010010
1547,197.112.0.69,1.58,11000101011100000000000001000101
1548,197.112.0.85,1.22,11000101011100000000000001010101
1549,197.155.206.146,0.41,11000101100110111100111010010010
1550,197.155.65.213,2.0,11000101100110110100000111010101
1551,197.156.129.137,0.16,11000101100111001000000110001001
1552,197.156.67.34,0.4,11000101100111000100001100100010
1553,197.156.73.163,0.15,11000101100111000100100110100011
1554,197.156.85.253,0.1,11000101100111000101010111111101
1555,197.156.85.78,0.52,11000101100111000101010101001110
1556,197.188.244.78,0.14,11000101101111001111010001001110
1557,197.216.54.35,0.02,11000101110110000011011000100011
1558,197.221.12.145,0.56,11000101110111010000110010010001
1559,197.227.2.51,0.06,11000101111000110000001000110011
1560,197.227.32.12,0.1,11000101111000110010000000001100
1561,197.227.32.13,6.33,11000101111000110010000000001101
1562,197.227.32.5,0.22,11000101111000110010000000000101
1563,197.227.34.191,0.11,11000101111000110010001010111111
1564,197.227.37.52,0.12,11000101111000110010010100110100
1565,197.235.5.43,0.03,11000101111010110000010100101011
1566,197.241.36.16,8.92,11000101111100010010010000010000
1567,197.241.36.21,2.89,11000101111100010010010000010101
1568,197.241.36.22,19.0,11000101111100010010010000010110
1569,197.241.36.49,0.65,11000101111100010010010000110001
1570,197.243.16.105,0.97,11000101111100110001000001101001
1571,197.248.5.24,11.5,11000101111110000000010100011000
1572,197.249.0.7,0.21,11000101111110010000000000000111
1573,197.249.4.247,0.19,11000101111110010000010011110111
1574,197.253.124.64,7.93,11000101111111010111110001000000
1575,197.253.124.98,0.76,11000101111111010111110001100010
1576,197.253.68.65,1.55,11000101111111010100010001000001
1577,197.255.147.146,0.25,11000101111111111001001110010010
1578,197.255.224.8,0.07,11000101111111111110000000001000
1579,198.1.112.132,0.94,11000110000000010111000010000100
1580,198.1.76.59,0.32,11000110000000010100110000111011
1581,198.11.204.66,4.79,11000110000010111100110001000010
1582,198.136.54.34,0.33,11000110100010000011011000100010
1583,198.151.161.45,0.37,11000110100101111010000100101101
1584,198.154.99.44,0.71,11000110100110100110001100101100
1585,198.178.127.12,1.9,11000110101100100111111100001100
1586,198.185.159.144,1.91,11000110101110011001111110010000
1587,198.185.159.145,3.4,11000110101110011001111110010001
1588,198.187.31.15,0.15,11000110101110110001111100001111
1589,198.20.107.90,7.58,11000110000101000110101101011010
1590,198.20.110.126,2.29,11000110000101000110111001111110
1591,198.20.81.218,0.87,11000110000101000101000111011010
1592,198.202.70.71,0.65,11000110110010100100011001000111
